No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor
123;2831;CV. ANDIRA DAHAYU PPN (BKL);65;EVANGELINE;18;Miss Glam Bengkulu;1;500000;0;;
124;2831;CV. ANDIRA DAHAYU PPN (BKL);85;INNISFREE;18;Miss Glam Bengkulu;1;500000;0;;
125;2831;CV. ANDIRA DAHAYU PPN (BKL);1632;KOJIESAN SAKURA;18;Miss Glam Bengkulu;1;500000;0;;
126;2831;CV. ANDIRA DAHAYU PPN (BKL);497;MAMAYA;18;Miss Glam Bengkulu;1;500000;0;;
127;2831;CV. ANDIRA DAHAYU PPN (BKL);375;MEDIHEAL;18;Miss Glam Bengkulu;1;500000;0;;
128;2831;CV. ANDIRA DAHAYU PPN (BKL);381;PURE PAWPAW;18;Miss Glam Bengkulu;1;500000;0;;
129;2831;CV. ANDIRA DAHAYU PPN (BKL);372;ROJUKIS;18;Miss Glam Bengkulu;0;500000;0;;
130;2575;CV. ANDIRA FIRMA (BKL);691;CLEAN FACE;18;Miss Glam Bengkulu;1;500000;0;;
131;2575;CV. ANDIRA FIRMA (BKL);1646;PAPAYA;18;Miss Glam Bengkulu;4;500000;0;;
132;2575;CV. ANDIRA FIRMA (BKL);130;PURBASARI;18;Miss Glam Bengkulu;1;500000;0;;
133;2575;CV. ANDIRA FIRMA (BKL);1460;REGLOW;18;Miss Glam Bengkulu;0;500000;0;;
134;2575;CV. ANDIRA FIRMA (BKL);372;ROJUKIS;18;Miss Glam Bengkulu;0;500000;0;;
135;2708;CV. ANUGERAH SEKAWAN ABADI - PPN (LPG);1986;LAYR;28;Miss Glam Kedaton;4;500000;0;;
136;2537;CV. ANUGERAH SEKAWAN ABADI - PPN (MDN);1986;LAYR;19;Miss Glam Medan;4;500000;0;;
137;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);915;BASE;7;Miss Glam Padang;0;500000;0;;
138;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);915;BASE;13;Miss Glam Bukittinggi;0;500000;0;;
139;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);915;BASE;21;Miss Glam Damar;0;500000;0;;
