No;Brand;SKU;Nama;HPP;Harga;Ranking;Grade;Kategori Brand;Kategori;Sub Kategori;Top4000;Terjual;Stok;Last Sales;Lost Days;Velocity Capped;Daily Sales;Lead Time;Max. Daily Sales;Max. Lead Time;Min. Order;Safety Stok;ROP;3W Cover;Sedang PO;Suggested;Amount;Toko;Siklus;[Brand] Promo Factor;[Brand] Delay Factor;[SKU] Promo Factor;[SKU] Delay Factor;[Master - SKU] Promo Factor;[Master - SKU] Delay Factor;Stock Cover;Days to Backup;Qty to Backup
172;AZARINE;8997208072712;AZARINE Oh! My Brow Definer 02 Eyecchiato Warm Brown 0.06gr ;33600;45000;3967;A;BEAUTY MATURE;Eye Make Up;Eyebrow;1;8;4;2025-11-23;0;0;0,14;3;1;14;3;13,59;14;24;0;21;705600;Miss Glam Padang;21;0;0;0;0;;;28,57;0;0
173;AZARINE;8997208072736;AZARINE Oh! My Brow Definer 03 Eyepresso Ash Grey 0.06gr ;36000;45000;7303;B;BEAUTY MATURE;Eye Make Up;Eyebrow;0;2;5;2025-10-21;0;0;0,03;3;1;14;3;13,9;14;24;0;18;648000;Miss Glam Padang;21;0;0;0;0;;;166,67;0;0
174;AZARINE;8997208071951;AZARINE Oil Free Brightening Daily Moisturizer 40gr;47200;59000;4319;B*;BEAUTY MATURE;Moisturizer;Soothing Gel;0;6;6;2025-11-16;0;0;0,1;3;2;14;3;27,69;28;48;0;42;1982400;Miss Glam Padang;21;0;0;0;0;;;60;0;0
175;AZARINE;8997208072903;AZARINE Pop The Soda Highlighter 01 Apple Fizz 3gr;41600;52000;9501;C;BEAUTY MATURE;Face Make Up;Highlighter;0;1;4;2025-10-20;0;0;0,02;3;1;14;3;13,95;14;24;0;0;0;Miss Glam Padang;21;0;0;0;0;;;200;0;0
176;AZARINE;8997208071999;AZARINE Pore Tightening & Oil Control Moist Serum 20ml;39200;51000;4572;B*;BEAUTY MATURE;Serum;Hydrating;0;6;6;2025-10-22;0;0;0,1;3;2;14;3;27,69;28;48;0;0;0;Miss Glam Padang;21;0;0;0;0;;;60;0;0
177;AZARINE;8997208073115;AZARINE Pure Radiance Barrier Moisturizer 30gr;39200;48000;3109;A;BEAUTY MATURE;Moisturizer;All Day Moisturizer;1;12;0;2025-11-13;10;8;0,24;3;3;14;3;41,28;42;72;6;66;2587200;Miss Glam Padang;21;0;0;0;0;;;0;0;0
178;AZARINE;8997208072170;AZARINE Radiant Luminous Serum 20ml;39200;48000;5368;B*;BEAUTY MATURE;Serum;Hydrating;0;4;5;2025-11-03;0;0;0,07;3;1;14;3;13,8;14;24;0;18;705600;Miss Glam Padang;21;0;0;0;0;;;71,43;0;0
179;AZARINE;8997208072187;AZARINE Retinol Smooth Glowing Serum 20ml;47200;59000;6820;B;BEAUTY MATURE;Serum;Exfoliating;0;2;1;2025-11-02;0;0;0,03;3;1;14;3;13,9;14;24;0;24;1132800;Miss Glam Padang;21;0;0;0;0;;;33,33;0;0
180;AZARINE;8997208071944;AZARINE Revitalizing Anti Aging Serum 20ml;47200;59000;6406;B;BEAUTY MATURE;Serum;Exfoliating;0;2;0;2025-11-16;7;4;0,04;3;1;14;3;13,88;14;24;3;21;991200;Miss Glam Padang;21;0;0;0;0;;;0;0;0
181;AZARINE;102002107356;AZARINE Supreme Glow Brightening Moisturizer 20ml;40608;54000;2024;A;BEAUTY MATURE;Serum;Brightening;1;22;14;2025-11-21;0;0;0,37;3;3;14;3;40,88;42;72;0;57;2314656;Miss Glam Padang;21;0;0;0;0;;;37,84;0;0
182;AZARINE;8997208072941;AZARINE Sweet Treats Eyeshadow 02 Choco Bar 5,5gr;44000;55000;6136;B;BEAUTY MATURE;Eye Make Up;Eyeshadow;0;3;1;2025-11-13;0;0;0,05;3;1;14;3;13,85;14;24;3;21;924000;Miss Glam Padang;21;0;0;0;0;;;20;0;0
183;AZARINE;8997208072644;AZARINE Tinted Lippie Cake 02 Choco Biscuit 2.9ml;33600;39900;6500;B;BEAUTY MATURE;Lip Make Up;Lip Tint;0;2;2;2025-10-04;0;0;0,03;3;2;14;3;27,9;28;48;0;0;0;Miss Glam Padang;21;0;0;0;0;;;66,67;0;0
184;AZARINE;8997208072651;AZARINE Tinted Lippie Cake 03 Pumpkin Cake 2.9ml;31584;39900;9566;C;BEAUTY MATURE;Lip Make Up;Lip Tint;0;1;2;2025-11-09;0;0;0,02;3;1;14;3;13,95;14;24;0;0;0;Miss Glam Padang;21;0;0;0;0;;;100;0;0
185;AZARINE;8997208073177;AZARINE Tinted Lippie Cake 07 Honey Waffle 2.9ml;33600;39900;5635;B*;BEAUTY MATURE;Lip Make Up;Lip Tint;0;4;5;2025-11-21;0;0;0,07;3;1;14;3;13,8;14;24;0;0;0;Miss Glam Padang;21;0;0;0;0;;;71,43;0;0
186;AZARINE;8997208073191;AZARINE Tinted Lippie Cake 09 Berry Pancake 2.9ml;33600;39900;4581;B*;BEAUTY MATURE;Lip Make Up;Lip Tint;0;6;3;2025-11-06;0;0;0,1;3;1;14;3;13,69;14;24;3;18;604800;Miss Glam Padang;21;0;0;0;0;;;30;0;0
187;AZARINE;8997208072828;AZARINE Velvety Lippie Cream 03 Plum Sorbet 3,2ml;39200;48500;8814;C;BEAUTY MATURE;Lip Make Up;Lip Cream;0;1;2;2025-10-27;0;0;0,02;3;1;14;3;13,95;14;24;0;0;0;Miss Glam Padang;21;0;0;0;0;;;100;0;0
188;AZZURA;8998866108553;AZZURA  Matte Lip Cream With Cocoa Butter & Vitamin E 01 Dusty Pink 4g;32437;38500;4349;B*;BEAUTY MATURE;Lip Make Up;Lip Cream;0;6;5;2025-11-09;0;0;0,1;2;1;6;3;5,8;6;23;0;18;583866;Miss Glam Padang;21;0;0;0;0;;;50;0;0
189;AZZURA;8998866108577;AZZURA  Matte Lip Cream With Cocoa Butter & Vitamin E 03 Rose Wood 4g;32446;38500;2303;A;BEAUTY MATURE;Lip Make Up;Lip Cream;1;19;13;2025-11-21;0;0;0,32;2;3;6;3;17,36;18;69;0;57;1849422;Miss Glam Padang;21;0;0;0;0;;;40,63;0;0
190;AZZURA;8998866108461;AZZURA Compact Powder Fresh Look 01 Light Beige 14gr ;20140;29500;1846;A;BEAUTY MATURE;Face Make Up;Bedak Padat;1;25;15;2025-11-23;0;0;0,42;2;3;6;3;17,15;18;69;0;54;1087560;Miss Glam Padang;21;0;0;0;0;;;35,71;0;0
191;AZZURA;8998866108478;AZZURA Compact Powder Fresh Look 02 Natural 14gr;20911;29500;447;A;BEAUTY MATURE;Face Make Up;Bedak Padat;1;112;44;2025-11-23;0;0;1,9;2;5;6;3;26,2;30;115;0;0;0;Miss Glam Padang;21;0;0;50;0;50;;23,16;0;0
192;AZZURA;8998866108485;AZZURA Compact Powder Fresh Look 03 Ivory 14gr;21100;25000;1464;A;BEAUTY MATURE;Face Make Up;Bedak Padat;1;34;39;2025-11-23;0;0;0,58;2;3;6;3;16,85;18;69;0;0;0;Miss Glam Padang;21;0;0;0;0;;;67,24;0;0
193;AZZURA;10300147110;AZZURA Day Cream Azzura Diamond Bright 30gr;33540;39500;4898;B*;BEAUTY MATURE;Moisturizer;Day Cream;0;5;3;2025-11-16;0;0;0,08;2;1;6;1;5,83;6;23;0;20;670800;Miss Glam Padang;21;0;0;0;0;;;37,5;0;0
194;AZZURA;20200467842;AZZURA Eyebrow Matic Black 0,08gr;28363;33500;7222;B;BEAUTY MATURE;Eye Make Up;Eyebrow;0;2;1;2025-11-13;0;0;0,03;2;1;6;1;5,93;6;23;0;22;623986;Miss Glam Padang;21;0;0;0;0;;;33,33;0;0
195;AZZURA;20200467759;AZZURA Eyebrow Matic dark Brown 0,08gr;28363;33500;5395;B*;BEAUTY MATURE;Eye Make Up;Eyebrow;0;4;1;2025-10-19;0;0;0,07;2;1;6;1;5,86;6;23;0;22;623986;Miss Glam Padang;21;0;0;0;0;;;14,29;0;0
196;AZZURA;20200467618;AZZURA Eyebrow Matic Medium Brown 0,08gr;28733;34000;6116;B;BEAUTY MATURE;Eye Make Up;Eyebrow;0;3;4;2025-11-13;0;0;0,05;2;1;6;1;5,9;6;23;0;19;545927;Miss Glam Padang;21;0;0;0;0;;;80;0;0
197;AZZURA;20200467537;AZZURA Eyebrow Pencil Black 1,5gr;23430;28000;6389;B;BEAUTY MATURE;Eye Make Up;Eyebrow;0;3;10;2025-11-15;0;0;0,05;2;1;6;1;5,9;6;23;0;0;0;Miss Glam Padang;21;0;0;0;0;;;200;0;0
198;AZZURA;20200467449;AZZURA Eyebrow Pencil Brown 1,5gr;23389;28500;4085;B*;BEAUTY MATURE;Eye Make Up;Eyebrow;0;7;14;2025-11-14;0;0;0,12;2;2;6;1;11,76;12;46;0;0;0;Miss Glam Padang;21;0;0;0;0;;;116,67;0;0
